track_id,frame_idx,cx,cy,vx,vy,cov_x,cov_y,cov_vx,cov_vy,bbox_w,bbox_h,age,time_since_update
1,1,747.5,51.0,0.0000,0.0000,0.039916,0.039886,1.000000,0.000000,19.0,36.0,2,0
1,2,748.0,50.0,0.0000,0.0000,0.039231,0.038518,1.000000,0.000000,20.0,36.0,3,0
1,3,748.0,49.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,20.0,36.0,4,0
1,4,748.5,47.1,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,38.0,5,0
1,5,749.0,42.7,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,20.0,37.0,6,0
1,6,750.0,39.6,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,20.0,39.0,7,0
1,7,750.0,34.2,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,20.0,36.0,8,0
1,8,750.0,32.6,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,20.0,37.0,9,0
1,9,750.0,32.6,0.0000,0.0000,2.039230,1.038516,1.000000,1.000000,20.0,37.0,10,1
1,10,750.0,32.5,0.0000,0.0000,0.039673,0.039356,1.200000,0.000000,20.0,37.0,11,0
1,11,750.0,32.5,0.0000,0.0000,0.039298,0.038518,1.000000,0.000000,20.0,37.0,12,0
1,12,750.0,32.5,0.0000,0.0000,0.039231,0.038516,1.000000,0.000000,20.0,37.0,13,0
1,13,750.0,32.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,20.0,37.0,14,0
1,14,750.0,32.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,20.0,37.0,15,0
1,15,750.0,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,20.0,38.0,16,0
1,16,750.0,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,20.0,38.0,17,0
1,17,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,19.0,38.0,18,0
1,18,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,19.0,38.0,19,0
1,19,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,19.0,38.0,20,0
1,20,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,21,0
